PC1,PC2,Prediction,TruePositive,FalsePositive,TrueNegative,FalseNegative
-1.7345151549675608,2.121156084148882,0,0,0,0,1
-1.556388110523484,1.8376708899210974,0,0,0,0,1
0.9763763987883844,0.05267491468451371,0,0,0,0,1
-1.9294670764187678,4.6943110619384,0,0,0,0,1
-1.2059237681331982,2.2745052547340077,0,0,0,0,1
-0.7164724783558007,-1.9072521575127908,0,0,0,0,1
-0.9786426189884507,-1.754464466387419,0,0,0,0,1
-0.8142108064835266,0.1798509901339908,0,0,0,0,1
-1.8474184500616175,1.6952382542892899,0,0,0,0,1
-0.7965531897828947,1.1663673618980104,0,0,0,0,1
-1.7307672004999006,1.8887165967370845,0,0,0,0,1
0.7186182661718682,-0.4935310941087653,0,0,0,0,1
-0.47194280623524176,-0.9405603204997143,0,0,0,0,1
-0.48823289889871313,-1.0154658840129118,0,0,0,0,1
-0.031931335912265,0.5398929535828146,0,0,0,0,1
-1.2721412675911383,-1.3492386536401317,0,0,0,0,1
-1.588589249894172,1.5033224005070513,0,0,0,0,1
-0.6734357092173806,-0.6179675357681917,0,0,0,0,1
-1.8889601070781945,1.062625424832934,0,0,0,0,1
-1.9101063567431078,1.0286292531547105,0,0,0,0,1
-0.7220851030819044,-1.0808013221844843,0,0,0,0,1
-1.14640133228421,-0.3542923486036924,0,0,0,0,1
-0.5611994341429228,-0.23210847384000724,0,0,0,0,1
-1.265685907088124,1.8460051895823282,0,0,0,0,1
-1.340868848615107,-0.8266653851901602,0,0,0,0,1
-0.17021722758242502,-0.21561989886754787,0,0,0,0,1
-1.4516399926015726,1.8001845235092515,0,0,0,0,1
-0.24017115246051518,2.3154426763852713,0,0,0,0,1
0.901241100111933,0.38422171546197714,0,0,0,0,1
-0.21808471095106907,-1.593377239774046,0,0,0,0,1
-0.4485232165775045,-0.36277452922361547,0,0,0,0,1
-1.880312325382236,2.958048352874431,0,0,0,0,1
-1.276469829388194,-1.2640822027784646,0,0,0,0,1
0.9930931939782272,0.4521736235678415,0,0,0,0,1
0.04710371910824082,0.45814008086603714,0,0,0,0,1
0.5108223935378637,-0.21008066890833738,0,0,0,0,1
-0.583696361360009,0.9740212405493459,0,0,0,0,1
-0.3745404739896459,-0.8989932507419166,0,0,0,0,1
-1.0992626391844589,-1.0413786021027134,0,0,0,0,1
-0.7140115436415531,-1.9271850599472602,0,0,0,0,1
-1.1517105896750393,0.46972863150674843,0,0,0,0,1
-1.176628236014499,-0.7012835757181217,0,0,0,0,1
-2.302431770871556,4.140703934920155,0,0,0,0,1
0.6448090651178201,-0.13238795152371302,0,0,0,0,1
-1.4096638833267083,0.18508432494272123,0,0,0,0,1
-0.6922824249930932,-0.7473623635607334,0,0,0,0,1
-0.7712425968443006,-0.07369325136776646,0,0,0,0,1
0.36223781095271795,0.5037403242063192,0,0,0,0,1
-0.851642858408941,-1.1771931756923455,0,0,0,0,1
-0.9627667785867577,-0.7483673368254238,0,0,0,0,1
-1.2468895253638284,0.5055028650756326,0,0,0,0,1
-1.4375504404420323,0.9141991489399364,0,0,0,0,1
-1.4384987592872118,-0.9351284731351469,0,0,0,0,1
-0.5637612585525433,-0.35971699401504487,0,0,0,0,1
-1.0417113473279627,-0.027433977174847742,0,0,0,0,1
-0.9726261757888756,0.9370356826994357,0,0,0,0,1
-1.613990452289446,-0.9536101899126318,0,0,0,0,1
-1.8445004302803993,0.12834497646559298,0,0,0,0,1
-1.920552173238418,2.4451586201047575,0,0,0,0,1
-0.9687270344689743,-0.6666589820950218,0,0,0,0,1
-1.1629511070146696,0.8730737123518232,0,0,0,0,1
-1.0127605225713097,0.4760652300435146,0,0,0,0,1
-1.1200196221449226,-0.15212597435083824,0,0,0,0,1
